company_id,latest_year,start_year,start_eps,end_eps,actual_years,eps_cagr_3yr_pct,eps_cagr_5yr_pct,eps_cagr_10yr_pct
DLF,2024.0,2021.0,4.0,11.0,3.0,40.10196653276936,12.888132073019754,10.645376106020565
DMART,2024.0,2021.0,17.0,39.0,3.0,31.88798361621814,22.740337821451305,29.23922207808318
DRREDDY,2024.0,2021.0,23.0,67.0,3.0,42.81779454599071,23.842409558387544,11.284504563028698
EICHERMOT,2024.0,2021.0,49.0,146.0,3.0,43.89717190746498,12.505451629050324,20.299134274435904
GAIL,2024.0,2021.0,9.0,15.0,3.0,18.56311014966876,8.447177119769854,7.919350247286827
GRASIM,2024.0,2021.0,63.0,85.0,3.0,10.499282680146527,27.730844458753978,6.806239621873766
HAL,2024.0,2021.0,48.0,114.0,3.0,33.420082436097246,26.63896760913802,
HAVELLS,2024.0,2021.0,17.0,20.0,3.0,5.566719197800074,8.997698704834534,11.069085371075271
HCLTECH,2024.0,2021.0,41.0,58.0,3.0,12.257330985276148,9.407036350794119,9.69075247889608
HDFCBANK,2024.0,2021.0,58.0,84.0,3.0,13.140240479934251,15.424788082530828,16.654280155455027
HDFCLIFE,2024.0,2021.0,7.0,7.0,3.0,0.0,3.131030647754507,5.755705033825231
HEROMOTOCO,2024.0,2021.0,146.0,187.0,3.0,8.599939568135696,1.6863437197464748,5.941283634174321
HINDALCO,2024.0,2021.0,16.0,45.0,3.0,41.155404332154276,13.396657763302722,15.128271105738422
HINDUNILVR,2024.0,2021.0,34.0,44.0,3.0,8.974425081854953,9.460878422315755,9.34980606439575
ICICIBANK,2024.0,2021.0,27.0,63.0,3.0,32.63524026321307,55.18455739153598,13.995881918674137
ICICIGI,2024.0,2021.0,32.0,39.0,3.0,6.816467042447916,11.139222486886503,12.5092775800282
ICICIPRULI,2024.0,2021.0,7.0,6.0,3.0,-5.008574840700353,-5.591248870509801,-5.881313739260197
INDIGO,,,,,,,121.23568222761168,-34.87773528813343
INDUSINDBK,2024.0,2021.0,37.0,115.0,3.0,45.93698581900316,15.895621875417865,15.593498374788117
INFY,2024.0,2021.0,45.0,63.0,3.0,11.868894208139679,12.474611314209483,10.60156477390728
IOC,2024.0,2021.0,15.0,30.0,3.0,25.99210498948732,20.11244339814313,19.623119885131544
IRCTC,2024.0,2021.0,2.0,14.0,3.0,91.29311827723889,28.473515712343932,
IRFC,2024.0,2021.0,3.0,5.0,3.0,18.56311014966876,20.11244339814313,
ITC,2024.0,2021.0,11.0,16.0,3.0,13.30326698854094,9.856054330611785,8.618098156466525
JINDALSTEL,2024.0,2021.0,36.0,58.0,3.0,17.230827599961064,,10.693181483627367
JSWENERGY,2024.0,2021.0,5.0,10.0,3.0,25.99210498948732,20.11244339814313,7.177346253629313
JSWSTEEL,2024.0,2021.0,33.0,36.0,3.0,2.9428498400178693,2.3836255539609663,33.5141362540313
KOTAKBANK,2024.0,2021.0,50.0,92.0,3.0,22.538513504568325,19.344070441601247,19.115090343250696
LICI,2024.0,2021.0,7.0,66.0,3.0,111.25903832908759,,
LODHA,2024.0,2021.0,1.0,16.0,3.0,151.98420997897463,-5.293423548032761,
LT,2024.0,2021.0,82.0,95.0,3.0,5.027553928675843,8.56169392953159,10.500834061722086
LTIM,2024.0,2021.0,111.0,155.0,3.0,11.772828128939317,12.24383304425547,-6.666549487610296
M&M,2024.0,2021.0,15.0,91.0,3.0,82.38258956284288,16.175509914303852,9.125382648287793
MARUTI,2024.0,2021.0,145.0,429.0,3.0,43.55878145035321,11.139222486886503,16.394629934979687
MOTHERSON,2024.0,2021.0,2.0,4.0,3.0,25.99210498948732,5.922384104881218,7.177346253629313
NAUKRI,2024.0,2021.0,110.0,44.0,3.0,-26.319370027192267,-2.1296099175999395,18.58677786278009
NESTLEIND,2024.0,2021.0,22.0,41.0,3.0,23.06098642720351,15.43852585822143,13.073350509641957
NHPC,2024.0,2021.0,3.0,4.0,3.0,10.064241629820891,5.922384104881218,14.869835499703509
NTPC,2024.0,2021.0,15.0,21.0,3.0,11.868894208139679,8.447177119769854,5.755705033825231
ONGC,2024.0,2021.0,13.0,39.0,3.0,44.22495703074083,10.197228772148016,6.386012503101268
PFC,2024.0,2021.0,36.0,60.0,3.0,18.56311014966876,14.869835499703509,13.441048760014528
PIDILITIND,2024.0,2021.0,22.0,34.0,3.0,15.616214441920405,13.564157249607756,14.215130617291273
PNB,2024.0,2021.0,2.0,8.0,3.0,58.74010519681994,,-8.755646344451918
POWERGRID,2024.0,2021.0,13.0,17.0,3.0,9.354129979287684,9.096607850144967,13.018071324347936
RECLTD,2024.0,2021.0,32.0,54.0,3.0,19.05507889761495,19.67245924901726,11.612317403390438
RELIANCE,2024.0,2021.0,39.0,51.0,3.0,9.354129979287684,11.952664832522043,12.29101807652131
SBILIFE,2024.0,2021.0,15.0,19.0,3.0,8.198385552319753,7.8852443962371455,10.500834061722086
SHREECEM,2024.0,2021.0,646.0,480.0,3.0,-9.426133758215006,10.67987982673917,7.823463927058194
SHRIRAMFIN,2024.0,2021.0,18.0,39.0,3.0,29.398934610938454,14.289655141156077,13.492507703672384
SIEMENS,2024.0,2021.0,31.0,76.0,3.0,34.83955155292464,19.643850003755613,16.15461431239702
SUNPHARMA,2024.0,2021.0,12.0,40.0,3.0,49.380158218572156,29.45936165164078,10.30542524220699
TATACONSUM,2024.0,2021.0,9.0,12.0,3.0,10.064241629820891,14.869835499703509,5.537868966683179
TATAMOTORS,,,,,,,,6.9519387639527475
TATAPOWER,2024.0,2021.0,4.0,12.0,3.0,44.22495703074083,5.922384104881218,
TCS,2024.0,2021.0,88.0,127.0,3.0,13.007434657986106,8.618771612987096,9.991915190476197
TECHM,2024.0,2021.0,46.0,24.0,3.0,-19.49593629635379,-11.416728965524282,-2.835834213692645
TITAN,2024.0,2021.0,11.0,39.0,3.0,52.4838939608516,19.50578386760935,17.164882683060824
TORNTPHARM,2024.0,2021.0,37.0,49.0,3.0,9.815788772150768,30.391879544001377,9.374632912519697
TRENT,,,,,,,69.52182030724354,
TVSMOTOR,2024.0,2021.0,13.0,36.0,3.0,40.427786232989085,19.13578981670916,24.57309396155174
ULTRACEMCO,2024.0,2021.0,189.0,243.0,3.0,8.738037300289214,22.525002568730358,11.751054183072917
UNIONBANK,2024.0,2021.0,4.0,18.0,3.0,65.09636244473134,,-3.9735499207781966
