company_id,year,previous_pattern,capital_allocation_pattern,pattern_changed
BAJAJHLDNG,Mar 2018,Negative FCF + CapEx,Positive FCF + CapEx,True
BAJAJHLDNG,Mar 2021,Positive FCF + CapEx,Negative FCF + CapEx,True
BAJAJHLDNG,Mar 2022,Negative FCF + CapEx,Positive FCF + CapEx,True
BANKBARODA,Mar 2016,Positive FCF + CapEx,Negative FCF + CapEx,True
BANKBARODA,Mar 2017,Negative FCF + CapEx,Positive FCF + CapEx,True
BANKBARODA,Mar 2018,Positive FCF + CapEx,Negative FCF + CapEx,True
BANKBARODA,Mar 2020,Negative FCF + CapEx,Positive FCF + CapEx,True
BANKBARODA,Mar 2021,Positive FCF + CapEx,Negative FCF + CapEx,True
BANKBARODA,Mar 2022,Negative FCF + CapEx,Positive FCF + CapEx,True
BANKBARODA,Mar 2023,Positive FCF + CapEx,Negative FCF + CapEx,True
BEL,Mar 2015,Negative FCF + CapEx,Positive FCF + CapEx,True
BEL,Mar 2017,Positive FCF + CapEx,Negative FCF + CapEx,True
BEL,Mar 2019,Negative FCF + CapEx,Positive FCF + CapEx,True
BEL,Mar 2022,Positive FCF + CapEx,Negative FCF + CapEx,True
BHARTIARTL,Mar 2017,Positive FCF + CapEx,Negative FCF + CapEx,True
BHARTIARTL,Mar 2018,Negative FCF + CapEx,Positive FCF + CapEx,True
BHARTIARTL,Mar 2019,Positive FCF + CapEx,Negative FCF + CapEx,True
BHARTIARTL,Mar 2021,Negative FCF + CapEx,Positive FCF + CapEx,True
BHEL,Mar 2017,Positive FCF + CapEx,Negative FCF + CapEx,True
BHEL,Mar 2018,Negative FCF + CapEx,Positive FCF + CapEx,True
BHEL,Mar 2019,Positive FCF + CapEx,Negative FCF + CapEx,True
BHEL,Mar 2021,Negative FCF + CapEx,Positive FCF + CapEx,True
BHEL,Mar 2022,Positive FCF + CapEx,Negative FCF + CapEx,True
BOSCHLTD,Mar 2019,Positive FCF + CapEx,Negative FCF + CapEx,True
BOSCHLTD,Mar 2020,Negative FCF + CapEx,Positive FCF + CapEx,True
BPCL,Mar 2017,Positive FCF + CapEx,Negative FCF + CapEx,True
BPCL,Mar 2018,Negative FCF + CapEx,Positive FCF + CapEx,True
BPCL,Mar 2019,Positive FCF + CapEx,Negative FCF + CapEx,True
BPCL,Mar 2021,Negative FCF + CapEx,Positive FCF + CapEx,True
BRITANNIA,Mar 2020,Positive FCF + CapEx,Negative FCF + CapEx,True
BRITANNIA,Mar 2021,Negative FCF + CapEx,Positive FCF + CapEx,True
CANBK,Mar 2018,Positive FCF + CapEx,Negative FCF + CapEx,True
CANBK,Mar 2019,Negative FCF + CapEx,Positive FCF + CapEx,True
CANBK,Mar 2020,Positive FCF + CapEx,Negative FCF + CapEx,True
CANBK,Mar 2021,Negative FCF + CapEx,Positive FCF + CapEx,True
CANBK,Mar 2022,Positive FCF + CapEx,Negative FCF + CapEx,True
CANBK,Mar 2024,Negative FCF + CapEx,Positive FCF + CapEx,True
CIPLA,Mar 2014,Negative FCF + CapEx,Positive FCF + CapEx,True
CIPLA,Mar 2016,Positive FCF + CapEx,Negative FCF + CapEx,True
CIPLA,Mar 2017,Negative FCF + CapEx,Positive FCF + CapEx,True
DIVISLAB,Mar 2022,Positive FCF + CapEx,Negative FCF + CapEx,True
DIVISLAB,Mar 2024,Negative FCF + CapEx,Positive FCF + CapEx,True
DLF,Mar 2014,Positive FCF + CapEx,Negative FCF + CapEx,True
DLF,Mar 2015,Negative FCF + CapEx,Positive FCF + CapEx,True
DLF,Mar 2017,Positive FCF + CapEx,Negative FCF + CapEx,True
DLF,Mar 2019,Negative FCF + CapEx,Positive FCF + CapEx,True
DLF,Mar 2020,Positive FCF + CapEx,Negative FCF + CapEx,True
DLF,Mar 2021,Negative FCF + CapEx,Positive FCF + CapEx,True
DMART,Mar 2018,Negative FCF + CapEx,Positive FCF + CapEx,True
DMART,Mar 2019,Positive FCF + CapEx,Negative FCF + CapEx,True
DMART,Mar 2021,Negative FCF + CapEx,Positive FCF + CapEx,True
DRREDDY,Mar 2014,Negative FCF + CapEx,Positive FCF + CapEx,True
EICHERMOT,Mar 2016,Negative FCF + CapEx,Positive FCF + CapEx,True
EICHERMOT,Mar 2017,Positive FCF + CapEx,Negative FCF + CapEx,True
EICHERMOT,Mar 2018,Negative FCF + CapEx,Positive FCF + CapEx,True
GAIL,Mar 2014,Negative FCF + CapEx,Positive FCF + CapEx,True
GAIL,Mar 2023,Positive FCF + CapEx,Negative FCF + CapEx,True
GAIL,Mar 2024,Negative FCF + CapEx,Positive FCF + CapEx,True
GODREJCP,Mar 2014,Negative FCF + CapEx,Positive FCF + CapEx,True
GODREJCP,Mar 2015,Positive FCF + CapEx,Negative FCF + CapEx,True
GODREJCP,Mar 2016,Negative FCF + CapEx,Positive FCF + CapEx,True
GODREJCP,Mar 2017,Positive FCF + CapEx,Negative FCF + CapEx,True
GODREJCP,Mar 2018,Negative FCF + CapEx,Positive FCF + CapEx,True
GODREJCP,Mar 2024,Positive FCF + CapEx,Negative FCF + CapEx,True
GRASIM,Mar 2014,Negative FCF + CapEx,Positive FCF + CapEx,True
GRASIM,Mar 2018,Positive FCF + CapEx,Negative FCF + CapEx,True
GRASIM,Mar 2020,Negative FCF + CapEx,Positive FCF + CapEx,True
GRASIM,Mar 2023,Positive FCF + CapEx,Negative FCF + CapEx,True
HAL,Mar 2020,Negative FCF + CapEx,Positive FCF + CapEx,True
HAL,Mar 2022,Positive FCF + CapEx,Negative FCF + CapEx,True
HAL,Mar 2023,Negative FCF + CapEx,Positive FCF + CapEx,True
HAVELLS,Mar 2021,Positive FCF + CapEx,Negative FCF + CapEx,True
HAVELLS,Mar 2022,Negative FCF + CapEx,Positive FCF + CapEx,True
HDFCBANK,Mar 2014,Negative FCF + CapEx,Positive FCF + CapEx,True
HDFCBANK,Mar 2015,Positive FCF + CapEx,Negative FCF + CapEx,True
HDFCBANK,Mar 2017,Negative FCF + CapEx,Positive FCF + CapEx,True
HDFCBANK,Mar 2019,Positive FCF + CapEx,Negative FCF + CapEx,True
HDFCBANK,Mar 2021,Negative FCF + CapEx,Positive FCF + CapEx,True
HDFCBANK,Mar 2022,Positive FCF + CapEx,Negative FCF + CapEx,True
HDFCBANK,Mar 2023,Negative FCF + CapEx,Positive FCF + CapEx,True
HDFCLIFE,Mar 2015,Insufficient Data,Positive FCF + CapEx,True
HDFCLIFE,Mar 2019,Positive FCF + CapEx,Negative FCF + CapEx,True
HDFCLIFE,Mar 2021,Negative FCF + CapEx,Positive FCF + CapEx,True
HDFCLIFE,Mar 2023,Positive FCF + CapEx,Negative FCF + CapEx,True
HEROMOTOCO,Mar 2019,Positive FCF + CapEx,Negative FCF + CapEx,True
HEROMOTOCO,Mar 2020,Negative FCF + CapEx,Positive FCF + CapEx,True
HINDALCO,Mar 2015,Negative FCF + CapEx,Positive FCF + CapEx,True
HINDALCO,Mar 2021,Positive FCF + CapEx,Negative FCF + CapEx,True
HINDALCO,Mar 2022,Negative FCF + CapEx,Positive FCF + CapEx,True
ICICIBANK,Mar 2016,Negative FCF + CapEx,Positive FCF + CapEx,True
ICICIBANK,Mar 2018,Positive FCF + CapEx,Negative FCF + CapEx,True
ICICIBANK,Mar 2019,Negative FCF + CapEx,Positive FCF + CapEx,True
ICICIBANK,Mar 2023,Positive FCF + CapEx,Negative FCF + CapEx,True
ICICIBANK,Mar 2024,Negative FCF + CapEx,Positive FCF + CapEx,True
ICICIGI,Mar 2014,Positive FCF + CapEx,Negative FCF + CapEx,True
ICICIGI,Mar 2016,Negative FCF + CapEx,Positive FCF + CapEx,True
ICICIGI,Mar 2017,Positive FCF + CapEx,Negative FCF + CapEx,True
ICICIGI,Mar 2018,Negative FCF + CapEx,Positive FCF + CapEx,True
ICICIPRULI,Mar 2016,Negative FCF + CapEx,Positive FCF + CapEx,True
ICICIPRULI,Mar 2020,Positive FCF + CapEx,Negative FCF + CapEx,True
ICICIPRULI,Mar 2021,Negative FCF + CapEx,Positive FCF + CapEx,True
ICICIPRULI,Mar 2023,Positive FCF + CapEx,Negative FCF + CapEx,True
INDIGO,Mar 2015,Negative FCF + CapEx,Positive FCF + CapEx,True
INDIGO,Mar 2018,Positive FCF + CapEx,Negative FCF + CapEx,True
INDIGO,Mar 2019,Negative FCF + CapEx,Positive FCF + CapEx,True
INDIGO,Mar 2021,Positive FCF + CapEx,Negative FCF + CapEx,True
INDIGO,Mar 2022,Negative FCF + CapEx,Positive FCF + CapEx,True
INDUSINDBK,Mar 2017,Negative FCF + CapEx,Positive FCF + CapEx,True
INDUSINDBK,Mar 2018,Positive FCF + CapEx,Negative FCF + CapEx,True
INDUSINDBK,Mar 2021,Negative FCF + CapEx,Positive FCF + CapEx,True
INDUSINDBK,Mar 2023,Positive FCF + CapEx,Negative FCF + CapEx,True
INFY,Mar 2017,Positive FCF + CapEx,Negative FCF + CapEx,True
INFY,Mar 2018,Negative FCF + CapEx,Positive FCF + CapEx,True
IOC,Mar 2019,Positive FCF + CapEx,Negative FCF + CapEx,True
IOC,Mar 2021,Negative FCF + CapEx,Positive FCF + CapEx,True
IRCTC,Mar 2018,Positive FCF + CapEx,Negative FCF + CapEx,True
IRCTC,Mar 2019,Negative FCF + CapEx,Positive FCF + CapEx,True
IRCTC,Mar 2021,Positive FCF + CapEx,Negative FCF + CapEx,True
IRCTC,Mar 2022,Negative FCF + CapEx,Positive FCF + CapEx,True
IRFC,Mar 2021,Negative FCF + CapEx,Negative FCF,True
IRFC,Mar 2022,Negative FCF,Negative FCF + CapEx,True
IRFC,Mar 2023,Negative FCF + CapEx,Negative FCF,True
IRFC,Mar 2024,Negative FCF,Positive FCF + CapEx,True
JINDALSTEL,Mar 2016,Negative FCF + CapEx,Positive FCF + CapEx,True
JINDALSTEL,Mar 2024,Positive FCF + CapEx,Negative FCF + CapEx,True
JIOFIN,Mar 2024,Positive FCF + CapEx,Negative FCF + CapEx,True
JSWENERGY,Mar 2023,Positive FCF + CapEx,Negative FCF + CapEx,True
JSWSTEEL,Mar 2014,Positive FCF + CapEx,Negative FCF + CapEx,True
JSWSTEEL,Mar 2015,Negative FCF + CapEx,Positive FCF + CapEx,True
JSWSTEEL,Mar 2020,Positive FCF + CapEx,Negative FCF + CapEx,True
JSWSTEEL,Mar 2021,Negative FCF + CapEx,Positive FCF + CapEx,True
JSWSTEEL,Mar 2024,Positive FCF + CapEx,Negative FCF + CapEx,True
KOTAKBANK,Mar 2014,Negative FCF + CapEx,Positive FCF + CapEx,True
KOTAKBANK,Mar 2015,Positive FCF + CapEx,Negative FCF + CapEx,True
KOTAKBANK,Mar 2016,Negative FCF + CapEx,Positive FCF + CapEx,True
KOTAKBANK,Mar 2018,Positive FCF + CapEx,Negative FCF + CapEx,True
KOTAKBANK,Mar 2020,Negative FCF + CapEx,Positive FCF + CapEx,True
KOTAKBANK,Mar 2021,Positive FCF + CapEx,Negative FCF + CapEx,True
KOTAKBANK,Mar 2024,Negative FCF + CapEx,Positive FCF + CapEx,True
LICI,Mar 2021,Positive FCF + CapEx,Negative FCF + CapEx,True
LICI,Mar 2023,Negative FCF + CapEx,Positive FCF + CapEx,True
LODHA,Mar 2017,Negative FCF + CapEx,Positive FCF + CapEx,True
LODHA,Mar 2019,Positive FCF + CapEx,Negative FCF + CapEx,True
LODHA,Mar 2020,Negative FCF + CapEx,Positive FCF + CapEx,True
LODHA,Mar 2024,Positive FCF + CapEx,Negative FCF + CapEx,True
LT,Mar 2021,Negative FCF + CapEx,Positive FCF + CapEx,True
M&M,Mar 2022,Negative FCF + CapEx,Positive FCF + CapEx,True
M&M,Mar 2023,Positive FCF + CapEx,Negative FCF + CapEx,True
MARUTI,Mar 2014,Positive FCF + CapEx,Negative FCF + CapEx,True
MARUTI,Mar 2015,Negative FCF + CapEx,Positive FCF + CapEx,True
MOTHERSON,Mar 2017,Positive FCF + CapEx,Negative FCF + CapEx,True
MOTHERSON,Mar 2018,Negative FCF + CapEx,Positive FCF + CapEx,True
NAUKRI,Mar 2014,Positive FCF + CapEx,Negative FCF + CapEx,True
NAUKRI,Mar 2016,Negative FCF + CapEx,Positive FCF + CapEx,True
NAUKRI,Mar 2021,Positive FCF + CapEx,Negative FCF + CapEx,True
NAUKRI,Mar 2023,Negative FCF + CapEx,Positive FCF + CapEx,True
NAUKRI,Mar 2024,Positive FCF + CapEx,Negative FCF + CapEx,True
NTPC,Mar 2014,Negative FCF + CapEx,Positive FCF + CapEx,True
NTPC,Mar 2015,Positive FCF + CapEx,Negative FCF + CapEx,True
NTPC,Mar 2016,Negative FCF + CapEx,Positive FCF + CapEx,True
NTPC,Mar 2017,Positive FCF + CapEx,Negative FCF + CapEx,True
NTPC,Mar 2021,Negative FCF + CapEx,Positive FCF + CapEx,True
ONGC,Mar 2015,Negative FCF + CapEx,Positive FCF + CapEx,True
ONGC,Mar 2018,Positive FCF + CapEx,Negative FCF + CapEx,True
ONGC,Mar 2019,Negative FCF + CapEx,Positive FCF + CapEx,True
PFC,Mar 2017,Negative FCF + CapEx,Positive FCF + CapEx,True
PFC,Mar 2018,Positive FCF + CapEx,Negative FCF + CapEx,True
PFC,Mar 2022,Negative FCF + CapEx,Positive FCF + CapEx,True
PFC,Mar 2023,Positive FCF + CapEx,Negative FCF + CapEx,True
PIDILITIND,Mar 2017,Positive FCF + CapEx,Negative FCF + CapEx,True
PIDILITIND,Mar 2018,Negative FCF + CapEx,Positive FCF + CapEx,True
PIDILITIND,Mar 2021,Positive FCF + CapEx,Negative FCF + CapEx,True
PIDILITIND,Mar 2022,Negative FCF + CapEx,Positive FCF + CapEx,True
PNB,Mar 2014,Negative FCF + CapEx,Positive FCF + CapEx,True
PNB,Mar 2018,Positive FCF + CapEx,Negative FCF + CapEx,True
PNB,Mar 2021,Negative FCF + CapEx,Positive FCF + CapEx,True
PNB,Mar 2024,Positive FCF + CapEx,Negative FCF + CapEx,True
POWERGRID,Mar 2019,Negative FCF + CapEx,Positive FCF + CapEx,True
RECLTD,Mar 2017,Negative FCF + CapEx,Positive FCF + CapEx,True
RECLTD,Mar 2018,Positive FCF + CapEx,Negative FCF + CapEx,True
RELIANCE,Mar 2014,Positive FCF + CapEx,Negative FCF + CapEx,True
RELIANCE,Mar 2016,Negative FCF + CapEx,Positive FCF + CapEx,True
RELIANCE,Mar 2017,Positive FCF + CapEx,Negative FCF + CapEx,True
RELIANCE,Mar 2018,Negative FCF + CapEx,Positive FCF + CapEx,True
RELIANCE,Mar 2019,Positive FCF + CapEx,Negative FCF + CapEx,True
RELIANCE,Mar 2020,Negative FCF + CapEx,Positive FCF + CapEx,True
RELIANCE,Mar 2021,Positive FCF + CapEx,Negative FCF + CapEx,True
RELIANCE,Mar 2022,Negative FCF + CapEx,Positive FCF + CapEx,True
SBILIFE,Mar 2014,Positive FCF + CapEx,Negative FCF + CapEx,True
SBILIFE,Mar 2015,Negative FCF + CapEx,Positive FCF + CapEx,True
SBILIFE,Mar 2016,Positive FCF + CapEx,Negative FCF + CapEx,True
SBILIFE,Mar 2018,Negative FCF + CapEx,Positive FCF + CapEx,True
SBILIFE,Mar 2019,Positive FCF + CapEx,Negative FCF + CapEx,True
SBILIFE,Mar 2020,Negative FCF + CapEx,Positive FCF + CapEx,True
SBILIFE,Mar 2023,Positive FCF + CapEx,Negative FCF + CapEx,True
SHREECEM,Mar 2018,Positive FCF + CapEx,Negative FCF + CapEx,True
SHREECEM,Mar 2019,Negative FCF + CapEx,Positive FCF + CapEx,True
SHREECEM,Mar 2020,Positive FCF + CapEx,Negative FCF + CapEx,True
SHREECEM,Mar 2021,Negative FCF + CapEx,Positive FCF + CapEx,True
SIEMENS,Sep 2014,Negative FCF + CapEx,Positive FCF + CapEx,True
SIEMENS,Sep 2015,Positive FCF + CapEx,Negative FCF + CapEx,True
SIEMENS,Sep 2016,Negative FCF + CapEx,Positive FCF + CapEx,True
SIEMENS,Sep 2017,Positive FCF + CapEx,Negative FCF + CapEx,True
SIEMENS,Sep 2019,Negative FCF + CapEx,Positive FCF + CapEx,True
SIEMENS,Sep 2020,Positive FCF + CapEx,Negative FCF + CapEx,True
SIEMENS,Sep 2022,Negative FCF + CapEx,Positive FCF + CapEx,True
SUNPHARMA,Mar 2023,Positive FCF + CapEx,Negative FCF + CapEx,True
SUNPHARMA,Mar 2024,Negative FCF + CapEx,Positive FCF + CapEx,True
TATACONSUM,Mar 2016,Positive FCF + CapEx,Negative FCF + CapEx,True
TATACONSUM,Mar 2017,Negative FCF + CapEx,Positive FCF + CapEx,True
TATAMOTORS,Mar 2014,Negative FCF + CapEx,Positive FCF + CapEx,True
TATAMOTORS,Mar 2015,Positive FCF + CapEx,Negative FCF + CapEx,True
TATAMOTORS,Mar 2016,Negative FCF + CapEx,Positive FCF + CapEx,True
TATAMOTORS,Mar 2017,Positive FCF + CapEx,Negative FCF + CapEx,True
TATAMOTORS,Mar 2021,Negative FCF + CapEx,Positive FCF + CapEx,True
TATAPOWER,Mar 2014,Negative FCF + CapEx,Positive FCF + CapEx,True
TATAPOWER,Mar 2017,Positive FCF + CapEx,Negative FCF + CapEx,True
TATAPOWER,Mar 2018,Negative FCF + CapEx,Positive FCF + CapEx,True
TATAPOWER,Mar 2023,Positive FCF + CapEx,Negative FCF + CapEx,True
TATAPOWER,Mar 2024,Negative FCF + CapEx,Positive FCF + CapEx,True
TATASTEEL,Mar 2014,Positive FCF + CapEx,Negative FCF + CapEx,True
TATASTEEL,Mar 2015,Negative FCF + CapEx,Positive FCF + CapEx,True
TATASTEEL,Mar 2018,Positive FCF + CapEx,Negative FCF + CapEx,True
TATASTEEL,Mar 2020,Negative FCF + CapEx,Positive FCF + CapEx,True
TITAN,Mar 2014,Positive FCF + CapEx,Negative FCF + CapEx,True
TITAN,Mar 2015,Negative FCF + CapEx,Positive FCF + CapEx,True
TITAN,Mar 2018,Positive FCF + CapEx,Negative FCF + CapEx,True
TITAN,Mar 2019,Negative FCF + CapEx,Positive FCF + CapEx,True
TITAN,Mar 2020,Positive FCF + CapEx,Negative FCF + CapEx,True
TITAN,Mar 2021,Negative FCF + CapEx,Positive FCF + CapEx,True
TITAN,Mar 2022,Positive FCF + CapEx,Negative FCF + CapEx,True
TITAN,Mar 2024,Negative FCF + CapEx,Positive FCF + CapEx,True
TORNTPHARM,Mar 2014,Negative FCF + CapEx,Positive FCF + CapEx,True
TORNTPHARM,Mar 2015,Positive FCF + CapEx,Negative FCF + CapEx,True
TORNTPHARM,Mar 2016,Negative FCF + CapEx,Positive FCF + CapEx,True
TORNTPHARM,Mar 2018,Positive FCF + CapEx,Negative FCF + CapEx,True
TORNTPHARM,Mar 2019,Negative FCF + CapEx,Positive FCF + CapEx,True
TRENT,Mar 2016,Negative FCF + CapEx,Positive FCF + CapEx,True
TRENT,Mar 2019,Positive FCF + CapEx,Negative FCF + CapEx,True
TRENT,Mar 2021,Negative FCF + CapEx,Positive FCF + CapEx,True
TVSMOTOR,Mar 2015,Positive FCF + CapEx,Negative FCF + CapEx,True
TVSMOTOR,Mar 2016,Negative FCF + CapEx,Positive FCF + CapEx,True
TVSMOTOR,Mar 2017,Positive FCF + CapEx,Negative FCF + CapEx,True
TVSMOTOR,Mar 2021,Negative FCF + CapEx,Positive FCF + CapEx,True
TVSMOTOR,Mar 2022,Positive FCF + CapEx,Negative FCF + CapEx,True
ULTRACEMCO,Mar 2014,Negative FCF + CapEx,Positive FCF + CapEx,True
UNIONBANK,Mar 2014,Negative FCF + CapEx,Positive FCF + CapEx,True
UNIONBANK,Mar 2015,Positive FCF + CapEx,Negative FCF + CapEx,True
UNIONBANK,Mar 2016,Negative FCF + CapEx,Positive FCF + CapEx,True
UNIONBANK,Mar 2017,Positive FCF + CapEx,Negative FCF + CapEx,True
UNIONBANK,Mar 2018,Negative FCF + CapEx,Positive FCF + CapEx,True
UNIONBANK,Mar 2019,Positive FCF + CapEx,Negative FCF + CapEx,True
UNIONBANK,Mar 2021,Negative FCF + CapEx,Positive FCF + CapEx,True
